bw,delay,loss,queue,packet_loss_ratio,rtt,jitter,throughput
10,17.857452916591367,0,100,0,88.14,46.0150844832431,10.5
10,19.220395440342408,1,100,0,66.42,20.723585597092022,10.5
20,41.13903926550197,5,200,20,152.5,31.817186131607134,21.0
10,5.9135603239485155,1,200,0,23.96,10.379691710258065,10.5
10,44.22390325553347,0,50,0,174.94,77.63432230656748,10.3
50,13.653858429262101,5,50,0,43.68,10.901009127599151,52.3
50,36.87715043590586,0,50,0,94.8,31.617795622085993,52.2
50,27.776664664525523,1,50,0,71.92,25.169862931688762,52.2
50,18.01255973413891,0,50,0,67.64,38.373532545232266,52.2
50,46.28255523445079,1,50,0,128.1,41.71690304900401,51.9
20,9.91010546063132,2,50,0,28.28,7.6283681085799735,21.0
5,28.677913635922444,5,50,0,110.6,52.602851633727994,5.25
10,42.64287972706246,0,50,0,137.56,33.795976091836735,10.5
10,9.74323369518686,0,50,0,31.04,7.661788303000807,10.5
5,18.119293669460554,0,100,0,65.22,36.27322704144201,5.23
20,35.02545159607058,5,200,20,93.75,37.611035614563974,21.0
20,27.62851048506433,5,50,20,96.95,29.196974729127902,20.5
10,43.77788391730141,0,50,0,137.42000000000002,50.63390168651829,10.2
20,18.945219674090445,1,100,0,47.94,16.78326547487109,20.9
10,23.724024536163544,2,200,0,67.02,28.24777867372937,10.5
20,11.430812805263413,1,200,0,34.78,9.88392634533463,21.0
5,17.67003651958946,5,50,0,59.1,20.627651344736265,5.09
50,21.820659880887476,5,200,20,62.3,21.17262383362062,51.0
10,39.555634467168304,5,100,0,120.08,44.91650030890653,10.4
5,36.7964388769808,5,200,20,106.775,34.81018768502501,5.25
10,13.324084293575481,2,100,0,68.14,18.293523444104473,10.5
5,14.291921280471696,0,50,0,61.52,29.322124752479997,5.25
10,30.811772028846754,5,50,20,95.525,36.58646152153371,10.0
10,6.41798548748756,5,50,0,59.620000000000005,80.45568345368773,10.5
5,34.22934875105345,1,200,0,115.67999999999999,50.76117610930621,5.25
20,38.77416514187974,0,100,0,99.72,34.36461843233531,21.0
5,33.51229732435415,0,200,0,81.4,30.52343362074457,5.25
10,21.852964035069906,2,100,0,119.9,36.66128748421146,10.5
10,6.995843599747802,1,100,20,66.4,34.49637662132068,10.5
